Kochab,72607,β UMi,UMi
Zubenelgenubi,72622,α2 Lib,Lib
Arcalís,72845,,Boo
Baekdu,73136,8 UMi,UMi
Nekkar,73555,β Boo,Boo
Quadrans,73695,44 Boo A,Boo
Brachium,73714,σ Lib,Lib
Zubeneschamali,74785,β Lib,Lib
Nikawiy,74961,,Boo
Pherkad,75097,γ UMi,UMi
Alkalurops,75411,μ Boo,Boo
Edasich,75458,ι Dra,Dra
Nusakan,75695,β CrB,CrB
Alphecca,76267,α CrB,CrB
Zubenelhakrabi,76333,γ Lib,Lib
Karaka,76351,,Aps
Unukalhai,77070,α Ser,Ser
Zhou,77233,β Ser,Ser
Gudja,77450,κ Ser,Ser
Iklil,78104,ρ Sco,Sco
Fang,78265,π Sco,Sco
Dschubba,78401,δ Sco,Sco
Acrab,78820,β1 Sco,Sco
Marsic,79043,κ Her,Her
Kamuy,79219,,CrB
Jabbah,79374,ν Sco,Sco
Sharjah,79431,,Sco
Yed Prior,79593,δ Oph,Oph
Yed Posterior,79882,ε Oph,Oph
Hunor,80076,,Her
Alniyat,80112,σ Sco,Sco
Athebyne,80331,η Dra,Dra
Cujam,80463,ω Her,Her
Timir,80687,,Oph
Antares,80763,α Sco,Sco
Kornephoros,80816,β Her,Her
Ogma,80838,,Her
Marfik,80883,λ Oph,Oph
Paikauhale,81266,τ Sco,Sco
Atria,82273,α TrA,TrA
Larawag,82396,ε Sco,Sco
Xamidimura,82514,μ1 Sco,Sco
Pipirima,82545,μ2 Sco,Sco
Mahsati,82651,,Oph
Rapeto,83547,,Sco
Alrakis,83608,μ Dra,Dra
Aldhibah,83895,ζ Dra,Dra
Sabik,84012,η Oph,Oph
Rasalgethi,84345,α1 Her,Her
Sarin,84379,δ Her,Her
Guniibuu,84405,36 Oph,Oph
Inquill,84787,,Ara
Rastaban,85670,β Dra,Dra
Maasym,85693,λ Her,Her
Lesath,85696,υ Sco,Sco
Yildun,85822,δ UMi,UMi
Shaula,85927,λ Sco,Sco
Rasalhague,86032,α Oph,Oph
Sargas,86228,θ Sco,Sco
Dziban,86614,ψ1 Dra,Dra
Cebalrai,86742,β Oph,Oph
Alruba,86782,,Dra
Cervantes,86796,μ Ara,Ara
Fuyue,87261,G Sco,Sco
Grumium,87585,ξ Dra,Dra
Eltanin,87833,γ Dra,Dra
Barnard's Star,87937,V2500 Oph,Oph
Bodu,88267,95 Her,Her
Pincoya,88414,,Sgr
Alnasl,88635,γ2 Sgr,Sgr
Ramus,88886,102 Her,Her
Polis,89341,μ Sgr,Sgr
Kaus Media,89931,δ Sgr,Sgr
Alasia,90004,,Ser
Tusizuo,90139,109 Her,Her
Kaus Australis,90185,ε Sgr,Sgr
Fafnir,90344,42 Dra,Dra
Kaus Borealis,90496,λ Sgr,Sgr
Vega,91262,α Lyr,Lyr
Xihe,91852,,Lyr
Sheliak,92420,β Lyr,Lyr
Ainalrami,92761,ν1 Sgr,Sgr
Nunki,92855,σ Sgr,Sgr
Kaveh,92895,,Ser
Alya,92946,θ1 Ser,Ser
Sulafat,93194,γ Lyr,Lyr
Ascella,93506,ζ Sgr,Sgr
Okab,93747,ζ Aql,Aql
Meridiana,94114,α CrA,CrA
Albaldah,94141,π Sgr,Sgr
Altais,94376,δ Dra,Dra
Aladfar,94481,η Lyr,Lyr
Gumala,94645,V5652 Sgr,Sgr
Belel,95124,,Sgr
Arkab Prior,95241,β1 Sgr,Sgr
Sika,95262,,Sgr
Arkab Posterior,95294,β2 Sgr,Sgr
Rukbat,95347,α Sgr,Sgr
Anser,95771,α Vul,Vul
Albireo,95947,β Cyg,Cyg
Uruk,96078,,Sge
Alsafi,96100,σ Dra,Dra
Sham,96757,α Sge,Sge
Fawaris,97165,δ Cyg,Cyg
Tarazed,97278,γ Aql,Aql
Altair,97649,α Aql,Aql
Libertas,97938,ξ Aql,Aql
Alshain,98036,β Aql,Aql
Terebellum,98066,ω Sgr,Sgr
Tianfu,98823,τ Aql,Aql
Antinous,99473,θ Aql,Aql
Phoenicia,99711,V1703 Aql,Aql
Chechia,99894,,Aql
Algedi,100064,α2 Cap,Cap
Alshat,100310,ν Cap,Cap
Dabih,100345,β1 Cap,Cap
Sadr,100453,γ Cyg,Cyg
Peacock,100751,α Pav,Pav
Aldulfin,101421,ε Del,Del
Rotanev,101769,β Del,Del
Sualocin,101958,α Del,Del
Deneb,102098,α Cyg,Cyg
